mapping,type,name,sourceFeature,targetFeatures,automation,manualSteps,automatedSteps,riskScore,riskReasons
"Assertions and Assumptions Migration","SemanticEffect","Matcher-Based Assumption Requires Validation","Assume.assumeThat","assumeTrue; assumeFalse; assumingThat","","0","0","2","Validation required (+2)"
"Exception and Timeout Migration","Transformation","@Test(expected) to assertThrows","@Test(expected)","assertThrows; assertThrows block","OperatorHelp","5","2","2","OperatorHelp (+1); Manual-heavy strategy (+1)"
"Exception and Timeout Migration","Transformation","ExpectedException Rule to assertThrows or Migration Support","ExpectedException Rule","assertThrows; ExpectedExceptionSupport; @EnableRuleMigrationSupport","OperatorHelp","4","3","2","OperatorHelp (+1); Manual-heavy strategy (+1)"
"Exception and Timeout Migration","Transformation","@Test(timeout) to Timeout Constructs","@Test(timeout)","@Timeout; assertTimeout; assertTimeoutPreemptively","OperatorHelp","3","2","2","OperatorHelp (+1); Manual-heavy strategy (+1)"
"Exception and Timeout Migration","Transformation","Timeout Rule to @Timeout or Timeout Assertions","Timeout Rule","@Timeout; assertTimeout; assertTimeoutPreemptively","OperatorHelp","3","2","2","OperatorHelp (+1); Manual-heavy strategy (+1)"
"Exception and Timeout Migration","SemanticEffect","Expected Exception Attribute Removed From @Test","@Test(expected); exception message expectation; exception cause expectation","assertThrows; assertThrowsExactly; assertThrows block","","0","0","2","Support removed (+2)"
"Exception and Timeout Migration","SemanticEffect","Timeout Annotation Semantics Need Selection","@Test(timeout); Timeout Rule","@Timeout; assertTimeout; assertTimeoutPreemptively","","0","0","2","Validation required (+2)"
"Exception and Timeout Migration","Preservation","Preserve Exception Type Intent","@Test(expected); ExpectedException Rule","","","0","0","0",""
"Rules ClassRules and Extension Model Migration","Transformation","TemporaryFolder Rule to @TempDir","TemporaryFolder Rule","TempDirectory / @TempDir","OperatorHelp","2","3","1","OperatorHelp (+1)"
"Rules ClassRules and Extension Model Migration","Transformation","ExternalResource Rule to Extension Callbacks","ExternalResource Rule","BeforeEachCallback; AfterEachCallback; BeforeAllCallback; AfterAllCallback; ExternalResourceSupport","OperatorHelp","5","1","2","OperatorHelp (+1); Manual-heavy strategy (+1)"
"Rules ClassRules and Extension Model Migration","Transformation","Verifier and ErrorCollector Rules","Verifier Rule","VerifierSupport; assertAll; AfterEachCallback","OperatorHelp","4","1","2","OperatorHelp (+1); Manual-heavy strategy (+1)"
"Rules ClassRules and Extension Model Migration","Transformation","ErrorCollector Rule to assertAll","ErrorCollector Rule","assertAll","OperatorHelp","2","1","2","OperatorHelp (+1); Manual-heavy strategy (+1)"
"Rules ClassRules and Extension Model Migration","Transformation","TestName Rule to TestInfo Parameter","TestName Rule","TestInfo parameter","OperatorHelp","2","2","1","OperatorHelp (+1)"
"Rules ClassRules and Extension Model Migration","Transformation","TestWatcher Rule to Jupiter TestWatcher Extension","TestWatcher Rule","TestWatcher extension; @RegisterExtension; @ExtendWith","OperatorHelp","4","1","2","OperatorHelp (+1); Manual-heavy strategy (+1)"
"Rules ClassRules and Extension Model Migration","Transformation","Custom @Rule to @RegisterExtension or @ExtendWith","Custom TestRule","@RegisterExtension; @ExtendWith; BeforeEachCallback; AfterEachCallback; ExecutionCondition; ParameterResolver","NoDirectMapping","6","0","4","NoDirectMapping (+3); Manual-heavy strategy (+1)"
"Rules ClassRules and Extension Model Migration","Transformation","@ClassRule to Static @RegisterExtension or Class-Level Extension","@ClassRule","static @RegisterExtension; @ExtendWith; BeforeAllCallback; AfterAllCallback","OperatorHelp","5","0","2","OperatorHelp (+1); Manual-heavy strategy (+1)"
"Rules ClassRules and Extension Model Migration","Bridge","JUnit Jupiter Migration Support Bridge for Selected Rules","junit-jupiter-migrationsupport; @EnableRuleMigrationSupport; @EnableJUnit4MigrationSupport; ExternalResourceSupport; VerifierSupport; ExpectedExceptionSupport","","","0","0","1","Cleanup-required bridge (+1)"
"Rules ClassRules and Extension Model Migration","Preservation","Temporarily Preserve Selected Rule Fields and Imports","ExternalResource Rule; TemporaryFolder Rule; Verifier Rule; ErrorCollector Rule; ExpectedException Rule","","","0","0","0",""
"Rules ClassRules and Extension Model Migration","SemanticEffect","JUnit 4 Rules Not Natively Supported By Jupiter","@Rule; @ClassRule; Custom TestRule; Custom MethodRule","@ExtendWith; @RegisterExtension; static @RegisterExtension","","0","0","2","Support removed (+2)"
"Rules ClassRules and Extension Model Migration","SemanticEffect","Custom Rule Redesign Risk","Custom TestRule; Custom MethodRule","@ExtendWith; @RegisterExtension; BeforeEachCallback; AfterEachCallback; ParameterResolver; ExecutionCondition","","0","0","3","Risk introduced (+3)"
"Runner Suite Category and Ordering Migration","Transformation","General @RunWith to @ExtendWith","@RunWith","@ExtendWith","OperatorHelp","3","2","2","OperatorHelp (+1); Manual-heavy strategy (+1)"
"Runner Suite Category and Ordering Migration","Transformation","MockitoJUnitRunner to MockitoExtension","MockitoJUnitRunner","@ExtendWith","OperatorHelp","1","1","1","OperatorHelp (+1)"
"Runner Suite Category and Ordering Migration","Transformation","SpringRunner to SpringExtension","SpringRunner / SpringJUnit4ClassRunner","@ExtendWith","OperatorHelp","1","1","1","OperatorHelp (+1)"
"Runner Suite Category and Ordering Migration","Transformation","Custom Runner to Jupiter Extension Redesign","Custom Runner","@ExtendWith; BeforeEachCallback; AfterEachCallback; ParameterResolver; ExecutionCondition","NoDirectMapping","5","0","4","NoDirectMapping (+3); Manual-heavy strategy (+1)"
"Runner Suite Category and Ordering Migration","Transformation","JUnit 4 Suite Runner to JUnit Platform Suite","@RunWith(Suite.class)","@Suite; @SelectClasses; @SelectPackages; @SuiteDisplayName; junit-platform-suite-engine","OperatorHelp","5","4","2","OperatorHelp (+1); Manual-heavy strategy (+1)"
"Runner Suite Category and Ordering Migration","Transformation","@Suite.SuiteClasses to @SelectClasses","@Suite.SuiteClasses","@SelectClasses","FullAutomation","1","2","0",""
"Runner Suite Category and Ordering Migration","Transformation","Suite Selected Classes to SelectPackages","suite selected classes","@SelectPackages","OperatorHelp","2","0","2","OperatorHelp (+1); Manual-heavy strategy (+1)"
"Runner Suite Category and Ordering Migration","Transformation","Categories to Tags","@Category on class","@Tag; Vintage category tag exposure","OperatorHelp","3","1","2","OperatorHelp (+1); Manual-heavy strategy (+1)"
"Runner Suite Category and Ordering Migration","Transformation","Method-level Category to Method-level Tag","@Category on method","@Tag","OperatorHelp","1","1","1","OperatorHelp (+1)"
"Runner Suite Category and Ordering Migration","Transformation","@FixMethodOrder to @TestMethodOrder","@FixMethodOrder","@TestMethodOrder; MethodOrderer.MethodName; MethodOrderer.OrderAnnotation; MethodOrderer.Random; custom MethodOrderer; @Order; junit.jupiter.testmethod.order.default","OperatorHelp","5","2","2","OperatorHelp (+1); Manual-heavy strategy (+1)"
"Runner Suite Category and Ordering Migration","Transformation","MethodSorters.NAME_ASCENDING to MethodOrderer.MethodName","MethodSorters.NAME_ASCENDING","MethodOrderer.MethodName","FullAutomation","0","2","0",""
"Runner Suite Category and Ordering Migration","Transformation","MethodSorters.DEFAULT Approximation","MethodSorters.DEFAULT","@TestMethodOrder; custom MethodOrderer","OperatorHelp","2","0","2","OperatorHelp (+1); Manual-heavy strategy (+1)"
"Runner Suite Category and Ordering Migration","Transformation","MethodSorters.JVM Approximation","MethodSorters.JVM","MethodOrderer.Random; custom MethodOrderer","NoDirectMapping","3","0","4","NoDirectMapping (+3); Manual-heavy strategy (+1)"
"Runner Suite Category and Ordering Migration","Transformation","SpringRunner to SpringExtension","SpringRunner / SpringJUnit4ClassRunner","@ExtendWith; SpringExtension","OperatorHelp","1","1","1","OperatorHelp (+1)"
"Runner Suite Category and Ordering Migration","Transformation","MockitoJUnitRunner to MockitoExtension","MockitoJUnitRunner","@ExtendWith; MockitoExtension","OperatorHelp","1","1","1","OperatorHelp (+1)"
"Runner Suite Category and Ordering Migration","SemanticEffect","JUnit 4 Runners Not Natively Supported By Jupiter","@RunWith; Custom Runner; BlockJUnit4ClassRunner","@ExtendWith; @Nested; @ParameterizedTest; @ParameterizedClass","","0","0","2","Support removed (+2)"
"Runner Suite Category and Ordering Migration","SemanticEffect","Category Marker Interfaces Become String Tags","@Category on class; @Category on method; category marker interface; included/excluded categories","@Tag; tag expression; Vintage category tag exposure","","0","0","2","Behavior change (+2)"
"Runner Suite Category and Ordering Migration","SemanticEffect","Method Orderer Approximation Requires Validation","MethodSorters.DEFAULT; MethodSorters.JVM; implicit source order dependency","MethodOrderer.Random; custom MethodOrderer; junit.jupiter.testmethod.order.default","","0","0","2","Validation required (+2)"
"Parameterized Theories and Advanced Test Forms","Transformation","JUnit 4 Parameterized Runner to Jupiter @ParameterizedTest","@RunWith(Parameterized.class)","@ParameterizedTest; @MethodSource; @CsvSource; @ValueSource; @ArgumentsSource; ArgumentsAccessor; ArgumentsAggregator; parameterized display name","OperatorHelp","5","3","2","OperatorHelp (+1); Manual-heavy strategy (+1)"
"Parameterized Theories and Advanced Test Forms","Transformation","@Parameters factory to @MethodSource","@Parameters factory","@MethodSource","OperatorHelp","2","0","2","OperatorHelp (+1); Manual-heavy strategy (+1)"
"Parameterized Theories and Advanced Test Forms","Transformation","@Parameter field injection to method parameters","@Parameter field injection","ArgumentsAccessor; ArgumentsAggregator","OperatorHelp","2","1","2","OperatorHelp (+1); Manual-heavy strategy (+1)"
"Parameterized Theories and Advanced Test Forms","Transformation","JUnit 4 Theories to Jupiter Parameterized or Dynamic Tests","@RunWith(Theories.class)","@ParameterizedTest; @MethodSource; @TestFactory; DynamicTest","NoDirectMapping","5","1","4","NoDirectMapping (+3); Manual-heavy strategy (+1)"
"Parameterized Theories and Advanced Test Forms","Transformation","JUnit 4 Parameterized Class to Jupiter @ParameterizedClass","@RunWith(Parameterized.class)","@ParameterizedClass; @MethodSource; org.junit.jupiter.params.Parameter; @BeforeParameterizedClassInvocation; @AfterParameterizedClassInvocation","OperatorHelp","1","4","1","OperatorHelp (+1)"
"Parameterized Theories and Advanced Test Forms","Transformation","@BeforeParam to @BeforeParameterizedClassInvocation","@BeforeParam","@BeforeParameterizedClassInvocation","FullAutomation","0","0","1","Missing strategy (+1)"
"Parameterized Theories and Advanced Test Forms","Transformation","@AfterParam to @AfterParameterizedClassInvocation","@AfterParam","@AfterParameterizedClassInvocation","FullAutomation","0","0","1","Missing strategy (+1)"
"Parameterized Theories and Advanced Test Forms","Transformation","@Parameter to Jupiter Parameter","@Parameter field injection","org.junit.jupiter.params.Parameter","FullAutomation","0","0","1","Missing strategy (+1)"
"Parameterized Theories and Advanced Test Forms","SemanticEffect","Parameterized Runner Migration May Restructure Test Shape","@RunWith(Parameterized.class); constructor parameter injection; @Parameter field injection; parameterized test display name","@ParameterizedTest; @ParameterizedClass; @MethodSource; ArgumentsAccessor; ArgumentsAggregator; parameterized display name","","0","0","2","Behavior change (+2)"
"Parameterized Theories and Advanced Test Forms","SemanticEffect","Theories Have No Direct Jupiter Equivalent","@RunWith(Theories.class); @Theory; @DataPoint; @DataPoints","@ParameterizedTest; @MethodSource; @TestFactory; DynamicTest","","0","0","2","Support removed (+2)"
"Legacy TestCase and Tool-Assisted Migration","Transformation","JUnit 4 TestCase Inheritance to Annotation-Based Jupiter Tests","junit.framework.TestCase inheritance","annotation-based Jupiter replacement for TestCase; org.junit.jupiter.api.Test; org.junit.jupiter.api.Assertions","OperatorHelp","1","3","1","OperatorHelp (+1)"
"Legacy TestCase and Tool-Assisted Migration","Transformation","setUp and tearDown to @BeforeEach and @AfterEach","setUp / tearDown methods","BeforeEach / AfterEach replacement for setUp / tearDown; @BeforeEach; @AfterEach","FullAutomation","1","2","0",""
"Legacy TestCase and Tool-Assisted Migration","SemanticEffect","Automated Tooling Has Partial Coverage","@Test annotation; Lifecycle Callbacks; Assertions; Rules and ClassRules; Runners; Parameterized and Data-Driven Tests","org.junit.jupiter.api.Test; Jupiter Lifecycle Callbacks; Jupiter Assertions; Jupiter Extension Model; Jupiter Parameterized Tests","","0","0","2","Validation required (+2)"
